African Studies,6,18
Anthropology,9,5
Arabic Studies,0,8
Art & Art History,15,11
Asian Studies,0,10
Biology,73,11
Business in the Liberal Arts,95,0
Canadian Studies,1,1
Caribbean & Latin American Studies,0,7
Chemistry,13,12
Chinese Studies,0,5
Computer Science,26,2
Economics,116,5
Education,0,35
English,43,14
Environmental Studies,42,0
Estudios Hispanicos,7,13
European Studies,0,9
Film & Representation Studies,0,9
Francophone Studies,9,8
Gender & Sexuality Studies,0,10
Geology,16,1
German Studies,1,12
Global Studies,13,4
Government,61,15
History,24,4
Italian Studies,0,5
Mathematics,42,18
Multi-field,1,0
Multi-language,1,0
Music,5,4
Neuroscience,17,0
Outdoor Studies,0,12
Peace Studies,0,9
Performance & Communication Arts,37,9
Philosophy,8,3
Physics,6,3
Psychology,86,3
Public Health,0,17
Religious Studies,4,8
Sociology,24,10
Sports Studies & Exercise Science,0,30
Statistics,15,20